,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,修复状态,备注,版本号,解决情况,,,,
TRUE,,欧龙,,5月18日,chrome,逻辑错误,【认证管理】批量-切换成原生图标功能：无原生图情况下，应该无法切换成原生图标，但是批量功能允许切换成原生图标；,测试域名不行，图片上传无法测试，需现网上线,最重要,验证通过,,需现网上线，测试域名不行,"测试时间：2020.06.03 17:05
测试验证已修复，待产品确认",,,,
TRUE,,清云,,5月20日,chrome,逻辑错误,消息管理配置-限制配置，点击编辑修改，属性显示为1,,一般,验证通过,,,"测试时间：2020.05.20 17:05
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月20日,chrome,逻辑错误,消息管理配置-限制配置，没有配置限制名单，APP发送快显消息发送失败及提示出现负数,,最重要,验证通过,,,"测试时间：2020.05.21 09:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，状态选择正常搜索，列表展示所有记录,,一般,验证通过,,,"测试时间：2020.05.29 09:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，新增第二个账号，账号新增页面信息显示上一个新增账号的信息,,一般,验证通过,,,"测试时间：2020.05.29 10:10
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，其他角色账号在此模块时，新增按钮和编辑按钮没有隐藏,,一般,验证通过,,,"测试时间：2020.05.29 16:25
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，管理员账号应该由开发在后台创建,,一般,验证通过,,,"测试时间：2020.05.29 16:30
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理新增，用户名包含特殊字符添加成功，包含汉字的点击提交，没有任何的提示,,一般,验证通过,,,"测试时间：2020.05.29 16:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理新增，姓名填写中文或特殊符号，点击提交没反应，添加失败,,一般,验证通过,,,"测试时间：2020.05.29 16:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,系统管理-账号管理编辑，编辑完成后点击保存，没有弹出二次确认框；编辑完成后点击取消，也没有弹出二次确认框,,一般,验证通过,,,"测试时间：2020.05.29 18:10
验证测试通过，待产品确认",,,,
FALSE,,清云,,5月29日,chrome,界面优化,系统管理-账号管理，新增/编辑弹出页面的提交按钮，应改成为保存按钮,,一般,已修复待验证,,,,,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,系统管理-账号管理修改密码，输入包含用户名密码，可提交修改成功,,一般,验证通过,,,"测试时间：2020.05.29 16:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,用户信息管理-实名认证，筛选性别为男的数据导出，显示数据与导出的数据数量不一致,,一般,验证通过,,,"测试时间：2020.06.02 11:30
验证测试通过，待产品确认",,,,
FALSE,,清云,,5月29日,chrome,界面优化,用户信息管理-实名认证，筛选条件性别下拉选项，需求中没有提及未知这个选项,,一般,待修复,,,,,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,用户信息管理-实名认证，筛选条件选择所在城市要精确到市区，预期是不选至市区仍可查询,,一般,验证通过,,,"测试时间：2020.06.02 14:10
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,用户信息管理-实名认证，点击重置并没有刷新当前列表,,一般,验证通过,,,"测试时间：2020.06.01 12:00
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,日志管理-结算管理，筛选条件任务ID、用户账号、返回码不支持模糊搜索,,一般,验证通过,,,"测试时间：2020.06.01 12:00
验证测试通过，待产品确认",,,,
FALSE,,清云,,5月29日,chrome,界面优化,日志管理-结算管理，筛选条件接口名称选项，应改成为三要素认证和人像比对,,一般,待修复,,,,,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,日志管理-结算管理，点击重置并没有按默认条件搜索,,一般,验证通过,,,"测试时间：2020.06.01 12:00
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月1日,chrome,逻辑错误,运营配置管理-认证管理，点击重置并没有刷新当前列表,,一般,验证通过,,,"测试时间：2020.06.02 14:10
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月1日,chrome,逻辑错误,运营配置管理-认证管理，筛选条件选择修改人，并没有按照筛选条件展示搜索结果,,一般,验证通过,,,"测试时间：2020.06.01 16:45
验证测试通过，待产品确认",,,,
TRUE,,欧龙,,6月5日,360,逻辑错误,1.点击左侧按钮展开，右方【展开查看详情】应该改为【收起】,,一般,验证通过,,,"测试时间：2020.06.08 09:15
验证测试通过，待产品确认",,,,
TRUE,,欧龙,,6月5日,360,逻辑错误,2.点击左侧按钮展开，是可以同时展开多个的，点击右方【展开查看详情】仅能展开一个；应该改成都能同时展开多个,,一般,验证通过,,,"测试时间：2020.06.08 09:15
验证测试通过，待产品确认",,,,
TRUE,,丹丽,,6月5日,chrome,逻辑错误,消息管理配置-发送记录，每月只显示最近一个月的数据,,最重要,验证通过,后期优化,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,6月9日,chrome,逻辑错误,数据报表-加V电话，选择按月统计搜索没有数据,,最重要,验证通过,,,"测试时间：2020.06.10 14:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月9日,chrome,逻辑错误,数据报表-5G快签，选择按月统计搜索没有数据,,最重要,验证通过,,,"测试时间：2020.06.10 14:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月10日,chrome,逻辑错误,运营配置管理-设置配置，帮助说明配置新增，新增第二个页面显示上一个新增的信息,,一般,验证通过,,,"测试时间：2020.06.11 11:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月10日,chrome,逻辑错误,运营配置管理-设置配置，优先级可以输入中文和负数，没有给出错误提示；没有默认值，预期是默认值为0,,一般,验证通过,,,"测试时间：2020.06.11 11:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月10日,chrome,逻辑错误,运营配置管理-设置配置，说明页面不是必填项，上传其他格式文件也成功，比如excel,,一般,验证通过,,,"测试时间：2020.06.11 11:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月10日,chrome,逻辑错误,运营配置管理-设置配置，帮助说明配置列表输入不存在创建人/更新人搜索，列表显示所有数据,,一般,验证通过,,,"测试时间：2020.06.11 14:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月10日,chrome,逻辑错误,运营配置管理-设置配置，帮助说明配置列表点击上架/下架，没有弹出二次确认框,,一般,验证通过,,,"测试时间：2020.06.11 14:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月11日,chrome,逻辑错误,运营配置管理-设置配置，帮助说明配置新增第二个，说明页面不上传也能新增成功,,一般,验证通过,,,"测试时间：2020.06.12 11:25
验证测试通过，待产品确认",,,,
TRUE,,,,6月12日,chrome,逻辑错误,消息管理配置-限制配置/模板分类，没有按照优先级排序，预期是数值越大优先级越高,,一般,验证通过,按照更新时间顺序,,,,,,
TRUE,,,,6月12日,chrome,逻辑错误,消息管理配置-限制配置/模板分类，没有按创建时间排序，预期是同个优先级按创建时间排序，旧的优先级>新的,,一般,验证通过,按照更新时间顺序,,,,,,
TRUE,,清云,,6月15日,chrome,逻辑错误,版本发布管理-版本升级发布管理新增，提交错误提示,,最重要,验证通过,,,"测试时间：2020.06.17 1750
验证测试通过，待产品确认",,,,
FALSE,,清云,,6月16日,chrome,界面优化,消息管理配置-限制配置列表，白名单描述改为名单,,一般,待修复,,,,,,,
TRUE,,清云,,6月17日,chrome,逻辑错误,运营配置管理-邀请好友新增，已存在一个邀请链接是上架状态的，新增邀请链接点击确认新增成功，没有给出提示,,一般,验证通过,,,"测试时间：2020.06.18 09:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月17日,chrome,逻辑错误,运营配置管理-邀请好友新增，已存在10个上架状态的邀请海报，再新增一个邀请海报新增成功，没有给出提示,,一般,验证通过,,,"测试时间：2020.06.18 09:15
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月17日,chrome,逻辑错误,运营配置管理-邀请好友配置列表，点击邀请链接不支持跳转,,一般,验证通过,,,"测试时间：2020.06.17 17:45
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月17日,chrome,逻辑错误,运营配置管理－5G快签配置列表，最大条数没有做限制，预期是每年次数不得少于每月次数，每月次数不得少于每周次数，每周次数不得少于每天次数,,一般,验证通过,,,"测试时间：2020.06.18 09:05
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月17日,chrome,逻辑错误,运营配置管理－5G快签配置列表，操作点击上/下架，没有弹窗做二次确认,,一般,验证通过,,,"测试时间：2020.06.18 09:05
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月17日,chrome,逻辑错误,运营配置管理－5G快签配置列表，操作点击编辑，修改内容保存不成功,,最重要,验证通过,,,"测试时间：2020.06.17 17:45
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月18日,chrome,逻辑错误,运营配置管理－号卡体检配置编辑，链接限制输入内容不得超过20个字符，预期是不限制输入,,一般,验证通过,,,"测试时间：2020.06.19 10:45
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月18日,chrome,逻辑错误,运营配置管理－号卡体检配置搜索，选择更新时间搜索，点击重置列表没有按默认条件搜索结果展示,,一般,验证通过,,,"测试时间：2020.06.19 11:45
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月18日,chrome,逻辑错误,运营配置管理－号卡体检配置搜索，输入不存创建人/更新人，搜索成功,,一般,验证通过,,,"测试时间：2020.06.19 10:50
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月18日,chrome,逻辑错误,运营配置管理－号卡体检配置列表，无勾选任何内容，点击批量删除弹窗提示，预期是批量操作按钮置灰，点击不响应,,一般,验证通过,,,"测试时间：2020.06.19 10:50
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月18日,chrome,逻辑错误,用户信息管理-业务信息管理，号卡体检信息列表号码没有隐藏中间4位,,一般,验证通过,,,"测试时间：2020.06.19 10:50
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月18日,chrome,逻辑错误,用户信息管理-业务信息管理，号卡体检信息列表最近检测时间没有显示,,一般,验证通过,后台数据为空,,"测试时间：2020.06.24 11:50
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月19日,chrome,逻辑错误,运营配置管理－号卡体检配置新增，输入无效链接没有给出红色字体提示,,一般,验证通过,判断格式是否正确即可,,"测试时间：2020.06.19 11:40
验证测试通过，待产品确认",,,,
TRUE,,清云,,6月19日,chrome,逻辑错误,运营配置管理-加V电话设置新增，提示新增成功，列表需要刷新才显示新增的数据,,最重要,验证通过,,,"测试时间：2020.07.07 11:00
测试验证已修复，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月19日,chrome,逻辑错误,运营配置管理-加V电话设置列表，操作点击编辑，生效时间没有显示,,一般,验证通过,,,"测试时间：2020.06.19 11:40
验证测试通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月19日,chrome,逻辑错误,运营配置管理-加V电话设置，黑白名单配置新增，点击确认不响应,,一般,验证通过,,,"测试时间：2020.06.19 11:40
验证测试通过，待产品确认",,,,
TRUE,,清云,徐青云,6月19日,chrome,逻辑错误,数据报表-5G快签，选择按日统计不选择日期，点击刷新没有任何数据,,一般,验证通过,,,"测试时间：2020.06.23 16:40
验证测试通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,逻辑错误,运营配置管理-认证管理，不筛选条件点导出，导出不是全部数据；筛选条件点导出，只导出当前页的数据，预期是导出所有筛选条件的数据,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,逻辑错误,运营配置管理-认证管理，点击批量模板下载，出现异常,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,逻辑错误,运营配置管理-设置配置，帮助说明点击链接预览显示为空,,一般,验证通过,部署问题不用改,,"测试时间：2020.06.28 16:40
验证测试通过，待产品确认",,,,
FALSE,,清云,,6月23日,chrome,界面优化,运营配置管理-消息管理配置，限制配置名单页面批量上传白名单应该为批量上传名单,,一般,待修复,,,,,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,逻辑错误,用户信息管理-用户信息管理，不筛选条件点导出，导出不是全部数据；筛选条件点导出，只导出当前页的数据，预期是导出所有筛选条件的数据,,最重要,验证通过,重新登录一下页面，刷新一下,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,逻辑错误,用户信息管理-用户信息管理，页码点击选择100/页，页面显示不全数据,,最重要,验证通过,后期优化，等下期后台部署,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,逻辑错误,用户信息管理-实名认证，列表数据显示不全，性别全部显示未知,,一般,验证通过,,,,,,,
TRUE,,清云,徐青云,6月24日,chrome,逻辑错误,数据报表-加V电话/5G快签，不筛选条件点导出，导出不是全部数据；筛选条件点导出，只导出当前页的数据，预期是导出所有筛选条件的数据,,一般,验证通过,,,"测试时间：2020.06.28 16:50
验证测试通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月29日,chrome,逻辑错误,用户信息管理-实名认证，筛选或不筛选条件点导出，导出数据与页面显示数据不一致,,一般,验证通过,后期优化，等下期后台部署,,,,,,
TRUE,,清云,,6月24日,chrome,逻辑错误,所有页面新增退出应该为空值(SKU配置新增、消息限制配置新增、模板分类新增、通用模板新增、定制模板新增),,一般,验证通过,,,"测试时间：2020.07.08 11:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,6月24日,chrome,逻辑错误,所有页面编辑退出应该没有提示(5G快签编辑、关键词编辑),,一般,验证通过,,,"测试时间：2020.07.08 11:50
测试验证通过，待产品确认",,,,
TRUE,,清云,龙晓泉,6月24日,chrome,逻辑错误,运营配置管理-号卡体检分享配置，点击上架所有更新时间都统一更新,,一般,验证通过,,,"测试时间：2020.06.24 14:00
验证测试通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,界面优化,运营配置管理-认证管理，点击上/下架，提示批量上/下架操作成功应改为上/下架操作成功,,一般,验证通过,,,,,,,
TRUE,,清云,徐青云,6月24日,chrome,逻辑错误,数据报表-快显消息，选择按日统计数据，预期是默认显示近一个月数据,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,界面优化,日志管理-陌电日志，页面中标记类型应该改为标签类型,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月24日,chrome,界面优化,日志管理-陌电日志，页面中创建时间应该与标签类型并排显示,,一般,验证通过,,,,,,,
TRUE,,清云,徐青云,6月24日,chrome,功能缺失,运营配置管理-防骚扰设置，关键词新增页面没有上架状态选择,,最重要,验证通过,,,,,,,
TRUE,,清云,徐青云,6月24日,chrome,界面优化,运营配置管理-防骚扰设置，关键词设置页面中筛选条件分类没有全部这个选项，预期是默认值为全部,,一般,验证通过,,,,,,,
TRUE,,清云,徐青云,6月24日,chrome,逻辑错误,系统管理-账号管理，点击右上角弹窗修改密码，点击确认按钮不响应,,最重要,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,界面优化,运营配置管理-支付后台配置，打开主页面不是SKU配置页，一般默认都是第一个选项页面,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,逻辑错误,运营配置管理-支付后台配置，SKU配置列表没有按照时间排序，预期是按时间降序从近到远排序,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,逻辑错误,运营配置管理-支付后台配置，SKU配置新增SKU名称输入超过12个字符新增成功，预期是提示最多可输入12个字符,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,逻辑错误,运营配置管理-支付后台配置，SKU配置新增支付费用输入中文出现异常，预期是限制只能输入数字,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,逻辑错误,运营配置管理-支付后台配置，SKU配置新增次数输入中文新增成功，预期是限制只能输入正整数,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,逻辑错误,运营配置管理-支付后台配置，SKU配置搜索条件支付费用，没有按照搜索条件展示搜索结果,,一般,验证通过,输入支持模糊查询,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,逻辑错误,运营配置管理-支付后台配置，SKU配置搜索条件创建人，输入框点击不可输入,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,界面优化,运营配置管理-支付后台配置，SKU配置搜索条件服务项/创建人没有全部这个选项，预期是默认值为全部,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,界面优化,运营配置管理-支付后台配置，套餐配置列表缺少资费类型列数据显示,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月25日,chrome,界面优化,运营配置管理-支付后台配置，套餐配置搜索条件套餐类型应改为资费类型,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增套餐名称超过12个字符新增成功，预期是提示最多可输入12个字符,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增选择下架，设置默认选择套餐没有隐藏,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,功能缺失,运营配置管理-支付后台配置，套餐配置新增选择sku没有全选和搜索功能,,最重要,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增生效时间不选择，点击确认出现异常提示,,一般,验证通过, 待现网验证,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,6月30日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增上架勾选默认选择套餐，点击确认提示已存在默认套餐，预期是覆盖原来的套餐,,一般,验证通过,后期优化，等下期后台部署,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,6月30日,chrome,逻辑错误,用户信息管理-业务信息管理，号卡体检信息检测结果写反了,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,6月30日,chrome,逻辑错误,日志管理-支付日志，商户订单号输入文字搜索出现异常提示,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,6月30日,chrome,逻辑错误,日志管理-支付日志，金额输入文字搜索显示默认数据，预期是显示暂无数据,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
FALSE,,清云,,6月30日,chrome,界面优化,日志管理-支付日志，列表完成支付时间没有显示,,一般,待修复,后期优化，等下期后台部署,,,,,,
TRUE,,清云,,6月30日,chrome,逻辑错误,消息管理配置-限制配置/模板管理，限制配置/模板分类新增优先级不填写，点击确认提示异常，预期是无自定义输入时默认为0,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,7月2日,chrome,逻辑错误,运营配置管理-加V电话设置，黑白名单配置批量上传黑名单/批量上传白名单，上传文件后把列表原有的数据覆盖，预期是如果有已经存在黑白名单的手机号码则不再重复添加,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,,,7月1日,chrome,逻辑错误,消息管理配置-模板管理，定制模板编辑界面点击查看名单，手动添加名单保存退出编辑界面，列表中的名单没有同步更新,,最重要,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
FALSE,,清云,,7月1日,chrome,界面优化,运营配置管理-认证管理，搜索条件修改日期查询应该改为修改时间,,一般,已修复待验证,,,,,,,
TRUE,,清云,,7月2日,chrome,逻辑错误,运营配置管理-消息管理配置，自定义模板没有勾选任何选项，点击批量通过/批量驳回弹窗显示,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增/修改提示新增/修改成功，页面停留在新增/修改页,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增/编辑，点击取消按钮，清空所有选项内容，预期是取消操作,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增标题超过14个字符新增成功，预期是提示最多可输入14个字符,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增费用说明/标签/套餐说明超过预期字符，点击确认提示异常,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增备注说明超18个字符新增成功，预期是提示最多18个字符,,一般,验证通过,,,,,,,
FALSE,,清云,,6月28日,chrome,界面优化,运营配置管理-支付后台配置，套餐配置新增预览页第二个套餐信息应改为套餐说明,,一般,待修复,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置新增必填项未填写完成，点击确认没有toast提示请完善必填信息,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置搜索条件费用输入小数搜索，点击查找出现异常提示,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置搜索条件sku输入不相关内容，点击查找列表显示默认数据,,一般,验证通过,,,,,,,
TRUE,,清云,黄宇鹏,6月28日,chrome,逻辑错误,运营配置管理-支付后台配置，套餐配置选择搜索条件，点击重置没有恢复默认状态并进行搜索,,一般,验证通过,,,,,,,
TRUE,,清云,,7月2日,chrome,逻辑错误,用户信息管理-用户信息管理，点击查看详情基础信息所属地区为空,,一般,验证通过,,,"测试时间：2020.07.07 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,7月2日,chrome,逻辑错误,用户审核管理-闪信审核管理，没有勾选选项点击批量通过/批量驳回弹窗显示,,一般,验证通过,,,"测试时间：2020.07.06 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,7月6日,chrome,逻辑错误,用户信息管理-用户信息管理，不筛选条件点导出，导出数据与默认数据条数不一致,,一般,验证通过,,,"测试时间：2020.07.07 17:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,7月8日,chrome,逻辑错误,运营配置管理-5G快签配置，新增/编辑最大次数输入字符，点击确认出现异常,,一般,验证通过,,,"测试时间：2020.07.08 21:50
测试验证通过，待产品确认",,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
